date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:55	111/111	U-----	200	untouched ('OK')	text/plain	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/robots.txt		(from )
12:53:55	344657/344657	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2002:53:07%20GMT	https://www.w3schools.com/html/html_intro.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_intro.html	(from )
12:53:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Oct%202024%2005:53:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Sunrise%20Web/html/home%20work/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.w3schools.com/html/html_intro.asp)
12:53:57	6369/6369	U-----	200	untouched ('')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com/html/html_intro.asp)
12:53:57	3065/3065	U-----	200	untouched ('')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/apple-touch-icon.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/html/html_intro.asp)
12:53:57	1408/1408	U-----	200	untouched ('')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/favicon-32x32.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/html/html_intro.asp)
12:53:58	912/912	U-----	200	untouched ('')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/favicon-16x16.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/html/html_intro.asp)
12:53:58	34835/34835	U-----	200	untouched ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.35	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/topnav/main44e3.css	(from https://www.w3schools.com/html/html_intro.asp)
12:53:59	20513/20513	U-----	200	untouched ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/my-learning/main.css?v=1.0.30	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/my-learning/main5ab0.css	(from https://www.w3schools.com/html/html_intro.asp)
12:53:59	34694/34694	U-----	200	untouched ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/pathfinder/main.css?v=1.0.3	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/pathfinder/main2c70.css	(from https://www.w3schools.com/html/html_intro.asp)
12:53:59	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:53:57%20GMT	https://www.w3schools.com/html/w3.css	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/w3.11.delayed	(from https://www.w3schools.com/html/html_intro.asp)
12:54:00	72709/72709	U-----	200	untouched ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.1	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/w3schools32f700.css	(from https://www.w3schools.com/html/html_intro.asp)
12:54:00	9075/9075	U-----	200	untouched ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/plus/plans/main.css	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/plus/plans/main.css	(from https://www.w3schools.com/html/html_intro.asp)
12:54:01	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:00%20GMT	https://www.w3schools.com/html/python/	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/python/index.html	(from https://www.w3schools.com/html/html_intro.asp)
12:54:01	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:00%20GMT	https://www.w3schools.com/html/numpy/	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/numpy/index.html	(from https://www.w3schools.com/html/html_intro.asp)
12:54:02	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:00%20GMT	https://www.w3schools.com/html/w3.js	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/w3.12.delayed	(from https://www.w3schools.com/html/html_intro.asp)
12:54:03	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:00%20GMT	https://www.w3schools.com/html/pandas/	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/pandas/index.html	(from https://www.w3schools.com/html/html_intro.asp)
12:54:03	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:01%20GMT	https://www.w3schools.com/html/scipy/	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/scipy/index.html	(from https://www.w3schools.com/html/html_intro.asp)
12:54:03	73302/73302	U-----	200	untouched ('')	application/javascript	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/html/html_intro.asp)
12:54:03	25573/25573	U-----	200	untouched ('')	application/javascript	etag:W/%2263e5-6241c33db4d9b%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/Sunrise%20Web/html/home%20work/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/html/html_intro.asp)
12:54:04	32618/32618	U-----	200	untouched ('')	application/javascript	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.5	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/common-deps3447.js	(from https://www.w3schools.com/html/html_intro.asp)
12:54:04	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2005:54:03%20GMT	https://www.w3schools.com/html/node.js	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/node.13.delayed	(from https://www.w3schools.com/html/html_intro.asp)
12:54:05	52751/52751	U-----	200	untouched ('')	application/javascript	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.34	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/user-session4fae.js	(from https://www.w3schools.com/html/html_intro.asp)
12:54:05	50335/50335	U-----	200	untouched ('')	application/javascript	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/my-learning/main.js?v=1.0.29	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/my-learning/main41be.js	(from https://www.w3schools.com/html/html_intro.asp)
12:55:03	353446/353446	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2002:50:22%20GMT	https://www.w3schools.com/html/default.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/default.html	(from https://www.w3schools.com/html/html_intro.asp)
12:55:04	361110/361110	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:02:09%20GMT	https://www.w3schools.com/html/html_exercises.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_exercises.html	(from https://www.w3schools.com/html/html_intro.asp)
12:55:04	347643/347643	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:09:48%20GMT	https://www.w3schools.com/html/html_quiz.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_quiz.html	(from https://www.w3schools.com/html/html_intro.asp)
12:55:06	8621/8621	U-----	200	untouched ('')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/images/colorpicker2000.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/images/colorpicker2000.png	(from https://www.w3schools.com/html/html_intro.asp)
12:56:03	343107/343107	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:20:08%20GMT	https://www.w3schools.com/html/html_lists_ordered.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_lists_ordered.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:03	341288/341288	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:02:20%20GMT	https://www.w3schools.com/html/html_lists.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_lists.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:04	343601/343601	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:21:51%20GMT	https://www.w3schools.com/html/html_lists_unordered.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_lists_unordered.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:05	346820/346820	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2002:56:29%20GMT	https://www.w3schools.com/html/html_links.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_links.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:06	346658/346658	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2002:54:09%20GMT	https://www.w3schools.com/html/html_tables.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_tables.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:06	345508/345508	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:08:03%20GMT	https://www.w3schools.com/html/html_table_borders.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_table_borders.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:06	345623/345623	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:19:07%20GMT	https://www.w3schools.com/html/html_table_headers.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_table_headers.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:06	349330/349330	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:03:01%20GMT	https://www.w3schools.com/html/html_div.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_div.html	(from https://www.w3schools.com/html/html_intro.asp)
12:56:07	348172/348172	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Oct%202024%2003:09:42%20GMT	https://www.w3schools.com/html/html_blocks.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_blocks.html	(from https://www.w3schools.com/html/html_intro.asp)
